Name;id;x;y;D̩partement
Nancon;J001401001;389358;6816630;35
Loysance;J014401001;372020;6823398;35
Guyoult;J032301001;353973;6835365;35
Rance_StJouan;J061161001;316728;6807388;22
Fremur_Pleslin;J100452001;325717;6839857;22
Arguenon;J110301001;305570;6824711;22
Rosette;J111401001;311269;6820269;22
Gouessant;J131301001;288863;6834984;22
Guindy;J203401001;240725;6871783;22
Evron;J132401001;286124;6835808;22
Gouet;J151301001;269016;6832185;22
Maudouve;J152401001;268082;6834560;22
Trieux_StPever;J171171001;248581;6837823;22
Trieux_StClet;J172172001;246510;6861042;22
Leff_Quemper;J181301001;253936;6862194;22
Jaudy;J202301001;239153;6864255;22
Guic;J221311001;213828;6842804;29
Leguer_BelleIsle;J223301001;228253;6846555;22
Yar;J231491001;216004;6858690;22
Douron;J240401001;210153;6849065;29
Dourduff;J251401001;201590;6855584;29
Jarlot_Plougonven;J260301001;198899;6851181;29
Tromorgant;J260541001;199117;6851198;29
Queffleuth;J261401002;196175;6851544;29
Penze;J272301001;189998;6854106;29
Horn;J301433001;183533;6856805;29
Guillec;J302401001;179067;6858450;29
Aber-Wrach_Drennec;J320571001;157220;6851005;29
Aber-Benoit;J321302002;153861;6850521;29
Aber-Ildut;J332302002;132967;6844862;29
Elorn_Commana;J340302001;182402;6832320;29
Mougau-Bihan;J340411001;182977;6833659;29
Mignonne;J351401001;166613;6834036;29
Aulne_Poullaouen;J360181001;206949;6830719;29
Douffine;J383401001;176707;6818946;29
Goyen;J401401001;143849;6797335;29
Pont-Abbe;J412442001;159764;6781187;29
Troyon;J412572001;159125;6781221;29
Odet_Ergue;J421191001;173957;6790824;29
Langelin;J421451001;180600;6801050;29
Jet;J422401001;177475;6788609;29
Moros;J451401001;186796;6776080;29
Styval;J451542001;186625;6776584;29
Ster-Goz;J461401001;196197;6777932;29
Elle_Priziac;J471201002;217917;6790732;56
Inam;J473401001;212056;6792230;56
Elle_Arzano;J474201001;217210;6775766;56
Isole_Scaer;J480301001;202959;6786302;56
Scorff;J510221001;220941;6775624;56
Blavet_Kerien;J520211001;237725;6828461;22
Evel-Guenin;J561301001;254000;6772493;56
Coet-Organ;J570481001;237193;6774264;56
Veuvre;J708311001;365833;6796501;35
Flume;J721401001;344949;6797491;35
Seiche;J748301001;349346;6779662;35
Canut-Nord;J751301001;327811;6777901;35
Semnon;J763301001;353976;6761233;35
Aron;J782401001;348507;6745196;35
Chere;J783301020;347381;6743791;44
Canut-Sud;J797301001;327336;6753517;35
Lie;J813301001;282660;6803938;22
Yvel;J836311001;299970;6779720;56
Claie_StJean;J843301002;273656;6762669;56
Aff_Paimpont;J860241001;316560;6777182;35
Aff_Quelneuc;J863241001;320771;6759979;56
